trait,stat,ID_2018,ID_2019,ID_2020,OR_2018,OR_2019,OR_2020,OR_2021,WA_2018,WA_2019,WA_2020,WA_2021
aNDF,range,30.02 - 34.42,34.9 - 41.24,28.02 - 29.37,37.25 - 41.49,40.77 - 44.59,40.32 - 40.71,34.12 - 39.52,39.51 - 42.44,38.37 - 42.36,36.41 - 38.53,25.23 - 33.63
aNDF,cv,0.0251,0.0185,0.0078,0.0156,0.0136,0.0016,0.0235,0.0133,0.0208,0.0104,0.0574
aNDF,Check_201,32.21,39.76,29.82,39.70,43.09,40.71,38.44,42.17,41.29,39.26,29.98
aNDF,Check_202,31.65,37.37,28.53,37.03,41.00,40.33,35.73,39.79,40.39,37.22,28.26
Ash,mean,11.33 ±0,11.45 ±0.488,12.32 ±0.161,9.84 ±0.045,9.76 ±0,8.55 ±0.042,8.22 ±0.077,9.13 ±0,9.35 ±0,8.9 ±0.199,7.84 ±0
Ash,range,11.33 - 11.33,9.76 - 12.68,11.85 - 12.74,9.73 - 9.97,9.76 - 9.76,8.44 - 8.66,8.01 - 8.42,9.13 - 9.13,9.35 - 9.35,8.21 - 9.38,7.84 - 7.84
Ash,cv,0.0000,0.0426,0.0131,0.0045,0.0000,0.0049,0.0094,0.0000,0.0000,0.0223,0.0000
Ash,Check_201,11.33,11.48,11.85, 9.75, 9.76, 8.40, 8.06, 9.13, 9.35, 8.46, 7.84
Ash,Check_202,11.33,10.69,12.33, 9.98, 9.76, 8.53, 8.27, 9.13, 9.35, 8.96, 7.84
Ca,mean,1.43 ±0.009,1.44 ±0.021,1.73 ±0.008,1.2 ±0,1.18 ±0,1.38 ±0.003,1.36 ±0.018,1.2 ±0.014,1.29 ±0.003,1.44 ±0.003,1.18 ±0.022
Ca,range,1.41 - 1.47,1.39 - 1.5,1.71 - 1.75,1.2 - 1.2,1.18 - 1.18,1.37 - 1.38,1.32 - 1.42,1.17 - 1.24,1.28 - 1.3,1.43 - 1.45,1.12 - 1.26
Ca,cv,0.0066,0.0144,0.0049,0.0000,0.0000,0.0021,0.0131,0.0114,0.0022,0.0021,0.0185
Ca,Check_201,1.43,1.39,1.68,1.20,1.18,1.38,1.34,1.21,1.28,1.43,1.15
Ca,Check_202,1.39,1.41,1.74,1.20,1.18,1.39,1.43,1.20,1.28,1.44,1.20
CP,mean,27.57 ±0.66,22.78 ±0.388,24.69 ±0.106,24.03 ±0.596,21.82 ±0.352,18.84 ±0.039,19.98 ±0.319,20.2 ±0.367,22.96 ±0.914,20.05 ±0.162,20.43 ±0.457
CP,range,25.36 - 29.55,21.3 - 24.73,24.37 - 24.97,21.85 - 25.38,20.73 - 23.07,18.74 - 18.95,19.06 - 20.98,19.28 - 21.11,20.65 - 25.13,19.52 - 20.39,19.29 - 21.72
CP,cv,0.0239,0.0170,0.0043,0.0248,0.0161,0.0021,0.0159,0.0182,0.0398,0.0081,0.0224
CP,Check_201,27.29,21.59,24.28,23.65,21.62,18.76,19.61,19.97,22.47,19.55,20.34
CP,Check_202,28.25,22.95,24.72,25.12,22.65,18.98,20.54,21.34,22.66,20.63,21.47
DM,mean,95.57 ±0,94.17 ±0.149,94.36 ±0.031,95.09 ±0.01,93.84 ±0.009,93.75 ±0.136,93.91 ±0.023,94.99 ±0.107,94.72 ±0,95.13 ±0.298,93.95 ±0.051
DM,range,95.57 - 95.57,93.76 - 94.9,94.29 - 94.43,95.06 - 95.13,93.82 - 93.87,93.37 - 94.1,93.84 - 93.99,94.69 - 95.27,94.72 - 94.72,93.92 - 95.78,93.77 - 94.05
DM,cv,0.0000,0.0016,0.0003,0.0001,0.0001,0.0015,0.0003,0.0011,0.0000,0.0031,0.0005
DM,Check_201,95.57,94.21,94.47,95.12,93.86,93.55,93.96,95.09,94.72,95.33,93.99
DM,Check_202,95.57,94.31,94.32,95.11,93.80,93.50,93.84,94.94,94.72,95.05,94.02
ESC,mean,4.62 ±0.243,6.46 ±0.229,6.68 ±0.013,5.86 ±0.112,6.15 ±0,6.4 ±0,7.15 ±0.095,6.34 ±0.11,5.68 ±0,6.66 ±0.541,9.18 ±0.475
ESC,range,3.94 - 5.3,5.88 - 7.17,6.63 - 6.72,5.58 - 6.14,6.15 - 6.15,6.4 - 6.4,6.92 - 7.39,6.03 - 6.62,5.68 - 5.68,5.48 - 8.2,7.88 - 10.42
ESC,cv,0.0527,0.0354,0.0019,0.0192,0.0000,0.0000,0.0133,0.0174,0.0000,0.0812,0.0518
ESC,Check_201,4.43,6.28,6.63,5.92,6.15,6.40,6.92,5.99,5.68,6.23,9.20
ESC,Check_202,4.96,6.98,6.71,6.09,6.15,6.40,7.21,6.58,5.68,6.20,8.72
Fat,mean,1.82 ±0.07,1.87 ±0.042,1.99 ±0.02,2.15 ±0.066,2.09 ±0.034,1.71 ±0,1.91 ±0.054,1.95 ±0.057,1.89 ±0,1.93 ±0.031,1.96 ±0
Fat,range,1.63 - 2.02,1.71 - 1.97,1.93 - 2.05,1.83 - 2.28,1.99 - 2.18,1.71 - 1.71,1.76 - 2.04,1.79 - 2.09,1.89 - 1.89,1.85 - 2.03,1.96 - 1.96
Fat,cv,0.0382,0.0224,0.0102,0.0306,0.0164,0.0000,0.0284,0.0294,0.0000,0.0159,0.0000
Fat,Check_201,1.85,1.84,1.90,2.15,2.09,1.71,1.82,1.92,1.89,1.82,1.96
Fat,Check_202,1.82,1.90,1.98,2.19,2.20,1.71,2.00,1.99,1.89,1.98,1.96
K,mean,0.39 ±0.006,0.32 ±0.017,2.77 ±0.025,0.32 ±0,0.26 ±0,2.17 ±0,2.23 ±0,0.32 ±0.007,0.32 ±0.002,1.98 ±0.03,2.05 ±0.1
K,range,0.38 - 0.41,0.28 - 0.36,2.69 - 2.83,0.32 - 0.32,0.26 - 0.26,2.17 - 2.17,2.23 - 2.23,0.29 - 0.34,0.32 - 0.33,1.87 - 2.04,1.8 - 2.39
K,cv,0.0149,0.0525,0.0090,0.0000,0.0000,0.0000,0.0000,0.0230,0.0056,0.0154,0.0489
K,Check_201,0.39,0.32,2.78,0.32,0.26,2.17,2.23,0.31,0.32,2.00,2.03
K,Check_202,0.38,0.31,2.72,0.32,0.26,2.17,2.23,0.32,0.33,2.04,2.20
Lignin,mean,6.03 ±0.149,6.29 ±0.191,5.32 ±0.074,6.47 ±0.131,6.83 ±0.148,7.57 ±0,7 ±0.2,6.86 ±0.14,6.64 ±0,7.08 ±0.063,5.41 ±0.356
Lignin,range,5.59 - 6.53,5.72 - 6.84,5.13 - 5.61,6.1 - 7.03,6.32 - 7.37,7.57 - 7.57,6.4 - 7.53,6.49 - 7.21,6.64 - 6.64,6.89 - 7.24,4.62 - 6.37
Lignin,cv,0.0247,0.0304,0.0139,0.0203,0.0216,0.0000,0.0286,0.0204,0.0000,0.0089,0.0659
Lignin,Check_201,6.05,6.53,5.63,6.62,6.92,7.57,7.27,7.10,6.64,7.37,5.61
Lignin,Check_202,5.88,6.01,5.29,6.07,6.43,7.57,6.80,6.59,6.64,7.07,5.49
Mg,mean,2.59 ±0.055,2.82 ±0,0.36 ±0.001,2.7 ±0,2.64 ±0,0.29 ±0.004,0.32 ±0.01,2.25 ±0.018,2.13 ±0.053,0.32 ±0.001,0.33 ±0.016
Mg,range,2.45 - 2.72,2.82 - 2.82,0.36 - 0.36,2.7 - 2.7,2.64 - 2.64,0.28 - 0.31,0.28 - 0.35,2.2 - 2.3,1.98 - 2.25,0.31 - 0.32,0.29 - 0.38
Mg,cv,0.0211,0.0000,0.0020,0.0000,0.0000,0.0127,0.0332,0.0081,0.0249,0.0029,0.0468
Mg,Check_201,2.62,2.82,0.35,2.70,2.64,0.30,0.31,2.28,2.15,0.31,0.33
Mg,Check_202,2.66,2.82,0.36,2.70,2.64,0.31,0.33,2.28,2.10,0.32,0.34
NDICP,mean,0.97 ±0.061,1.1 ±0,1.42 ±0.027,0.92 ±0.055,1.11 ±0,1.52 ±0,1.38 ±0,0.79 ±0,0.87 ±0,1.4 ±0.025,1.06 ±0.106
NDICP,range,0.84 - 1.14,1.1 - 1.1,1.35 - 1.51,0.77 - 1.12,1.11 - 1.11,1.52 - 1.52,1.38 - 1.38,0.79 - 0.79,0.87 - 0.87,1.32 - 1.45,0.72 - 1.41
NDICP,cv,0.0631,0.0000,0.0193,0.0596,0.0000,0.0000,0.0000,0.0000,0.0000,0.0182,0.0992
NDICP,Check_201,0.98,1.10,1.32,0.93,1.11,1.52,1.38,0.79,0.87,1.35,1.14
NDICP,Check_202,1.05,1.10,1.39,0.99,1.11,1.52,1.38,0.79,0.87,1.51,1.22
P,mean,0.35 ±0.01,0.32 ±0.006,0.36 ±0.008,0.36 ±0.006,0.31 ±0.012,0.31 ±0.002,0.31 ±0,0.28 ±0.008,0.33 ±0.011,0.3 ±0.008,0.31 ±0.002
P,range,0.33 - 0.38,0.3 - 0.33,0.34 - 0.38,0.35 - 0.38,0.28 - 0.36,0.3 - 0.31,0.31 - 0.31,0.25 - 0.3,0.3 - 0.35,0.27 - 0.32,0.31 - 0.32
P,cv,0.0270,0.0185,0.0223,0.0158,0.0370,0.0054,0.0000,0.0292,0.0319,0.0268,0.0065
P,Check_201,0.35,0.31,0.35,0.36,0.32,0.31,0.31,0.28,0.33,0.30,0.31
P,Check_202,0.37,0.32,0.36,0.38,0.32,0.32,0.31,0.30,0.33,0.31,0.32
Starch,mean,0.85 ±0,1.07 ±0.023,0.47 ±0.048,1.46 ±0.069,1.44 ±0.174,2.51 ±0,2.08 ±0.078,2.13 ±0.275,0.69 ±0,1.78 ±0.533,6.23 ±1.117
Starch,range,0.85 - 0.85,1.01 - 1.14,0.36 - 0.71,1.31 - 1.82,1.03 - 2.26,2.51 - 2.51,1.88 - 2.32,1.44 - 2.95,0.69 - 0.69,0.73 - 4.69,3.52 - 8.82
Starch,cv,0.0000,0.0212,0.1017,0.0473,0.1204,0.0000,0.0374,0.1289,0.0000,0.2989,0.1792
Starch,Check_201,0.85,1.14,0.37,1.38,1.32,2.51,1.91,1.79,0.69,1.61,5.70
Starch,Check_202,0.85,1.05,0.52,1.62,1.52,2.51,1.98,1.99,0.69,1.29,4.86
WSC,mean,6.99 ±0.15,7.03 ±0.287,10.13 ±0.02,6.94 ±0.388,6.89 ±0.182,9.02 ±0.003,9.59 ±0.123,7.08 ±0.061,7.22 ±0,9.21 ±0.363,11.49 ±0.487
WSC,range,6.58 - 7.4,6.17 - 8.19,10.06 - 10.19,6.11 - 8.72,6.37 - 7.44,9.01 - 9.03,9.26 - 9.92,6.88 - 7.23,7.22 - 7.22,8.38 - 10.12,10.3 - 12.88
WSC,cv,0.0214,0.0408,0.0020,0.0559,0.0264,0.0003,0.0129,0.0086,0.0000,0.0394,0.0424
WSC,Check_201, 6.88, 6.93,10.08, 6.86, 6.89, 9.01, 9.30, 6.91, 7.22, 8.77,11.45
WSC,Check_202, 7.07, 7.54,10.18, 7.42, 7.09, 9.03, 9.71, 7.22, 7.22, 8.79,10.99
