trait,stat,ID_2018,ID_2019,ID_2020,OR_2018,OR_2019,OR_2020,OR_2021,WA_2018,WA_2019,WA_2020,WA_2021
ADF,mean,28.71 ±0.59,31 ±0.662,25.84 ±0.211,32.07 ±0.567,33.87 ±0.489,34.63 ±0.043,32.03 ±0.78,33.33 ±0.446,32.88 ±0.723,31.89 ±0.347,25.23 ±1.511
ADF,range,27.41 - 30.71,27.76 - 32.73,25.28 - 26.57,30.44 - 34.35,32.39 - 35.83,34.49 - 34.75,29.7 - 34.6,32.03 - 34.48,30.93 - 34.54,30.92 - 32.79,21.85 - 29.3
ADF,cv,0.0206,0.0214,0.0081,0.0177,0.0144,0.0012,0.0243,0.0134,0.0220,0.0109,0.0599
ADF,Check_201,28.99,32.52,26.92,32.94,34.36,34.79,33.46,34.48,33.49,33.61,26.11
ADF,Check_202,28.25,29.77,25.79,30.41,32.49,34.53,31.25,32.40,32.91,31.81,25.12
ADICP,mean,0.51 ±0.018,0.67 ±0.03,0.81 ±0.006,0.55 ±0.007,0.71 ±0.009,1.13 ±0,1.03 ±0.008,0.49 ±0.008,0.53 ±0.005,0.84 ±0,0.82 ±0
ADICP,range,0.46 - 0.56,0.58 - 0.74,0.79 - 0.83,0.53 - 0.57,0.68 - 0.74,1.13 - 1.13,1.01 - 1.05,0.46 - 0.51,0.51 - 0.54,0.84 - 0.84,0.82 - 0.82
ADICP,cv,0.0360,0.0456,0.0069,0.0125,0.0124,0.0000,0.0075,0.0174,0.0100,0.0006,0.0000
ADICP,Check_201,0.51,0.66,0.79,0.57,0.73,1.13,1.04,0.50,0.53,0.84,0.82
ADICP,Check_202,0.53,0.64,0.80,0.54,0.68,1.13,1.01,0.49,0.51,0.84,0.82
aNDF,mean,32.02 ±0.805,38.14 ±0.704,28.56 ±0.224,38.85 ±0.605,42.62 ±0.579,40.54 ±0.065,36.86 ±0.865,40.91 ±0.544,40.32 ±0.837,37.36 ±0.389,28.77 ±1.65
