ENV,Y_ADF,Y_aNDF,Y_Lignin,ENV,index_ADF,index_aNDF,index_Lignin,ENV,class_ADF,class_aNDF,class_Lignin
ID_2018,32.3146079779892,37.2956526329779,6.83055000547787,ID_2018,1.59709158767687,0.961331739169147,0.40440834449207,ID_2018,favorable,favorable,favorable
ID_2019,34.5867289136397,43.3872421178261,7.09363412541767,ID_2019,3.8692125233273,7.05292122401737,0.667492464431871,ID_2019,favorable,favorable,favorable
ID_2020,29.509472649979,33.8830900492408,6.13903018479781,ID_2020,-1.20804374033334,-2.45123084456795,-0.287111476187989,ID_2020,unfavorable,unfavorable,unfavorable
OR_2018,29.5685027061545,35.3039603326427,5.70627381784516,OR_2018,-1.14901368415787,-1.03036056116605,-0.719867843140635,OR_2018,unfavorable,unfavorable,unfavorable
OR_2019,31.3334199722942,39.0415110909751,6.06204399883407,OR_2019,0.615903581981847,2.70719019716638,-0.364097662151724,OR_2019,favorable,favorable,unfavorable
OR_2020,32.0936723445174,36.9926915742656,6.79887155800008,OR_2020,1.37615595420504,0.658370680456883,0.372729897014281,OR_2020,favorable,favorable,favorable
OR_2021,29.5496939100662,33.3531041337751,6.22843690398537,OR_2021,-1.16782248024615,-2.98121676003368,-0.197704757000422,OR_2021,unfavorable,unfavorable,unfavorable
WA_2018,32.2054514354461,39.1454220956787,6.81287058206439,WA_2018,1.4879350451337,2.81110120186998,0.38672892107859,WA_2018,favorable,favorable,favorable
WA_2019,31.7717495313884,38.5769493011842,6.60331422738308,WA_2019,1.05423314107607,2.24262840737538,0.177172566397287,WA_2019,favorable,favorable,favorable
WA_2020,30.8070623435361,35.6451224896065,7.03763797567837,WA_2020,0.0895459532237446,-0.689198404202216,0.611496314692577,WA_2020,favorable,unfavorable,favorable
WA_2021,24.1523185084252,27.0527840137235,5.37489489135989,WA_2021,-6.56519788188721,-9.28153688008526,-1.0512467696259,WA_2021,unfavorable,unfavorable,unfavorable
