trait,stat,ID_2018,ID_2019,ID_2020,OR_2018,OR_2019,OR_2020,OR_2021,WA_2018,WA_2019,WA_2020,WA_2021
ESC,Check_201,4.18,6.07,6.30,5.80,6.10,6.35,7.13,6.69,6.01,6.67,9.58
ESC,Check_202,4.62,6.19,6.36,5.94,6.19,6.39,7.03,6.67,6.12,6.64,9.09
Fat,mean,1.79 ±0.056,1.83 ±0.002,1.96 ±0.01,2.26 ±0.035,2.2 ±0.03,1.83 ±0.002,2.03 ±0.016,1.86 ±0.003,1.8 ±0.003,1.84 ±0.002,1.87 ±0.004
Fat,range,1.64 - 1.95,1.83 - 1.84,1.91 - 1.98,2.11 - 2.36,2.07 - 2.28,1.83 - 1.84,1.96 - 2.07,1.85 - 1.87,1.79 - 1.81,1.84 - 1.84,1.86 - 1.88
Fat,cv,0.0313,0.0009,0.0053,0.0154,0.0136,0.0009,0.0078,0.0017,0.0015,0.0010,0.0020
Fat,Check_201,1.81,1.82,1.95,2.25,2.19,1.82,2.02,1.85,1.79,1.83,1.86
Fat,Check_202,1.79,1.84,1.98,2.34,2.27,1.84,2.06,1.87,1.80,1.85,1.88
K,mean,0.5 ±0.001,0.43 ±0.015,2.88 ±0.008,0.17 ±0,0.12 ±0,2.02 ±0.006,2.09 ±0.006,0.35 ±0.001,0.36 ±0.001,2.01 ±0.006,2.09 ±0.006
K,range,0.5 - 0.5,0.39 - 0.47,2.86 - 2.9,0.17 - 0.17,0.12 - 0.12,2 - 2.03,2.07 - 2.1,0.35 - 0.35,0.36 - 0.36,2 - 2.03,2.07 - 2.1
K,cv,0.0025,0.0354,0.0028,0.0020,0.0018,0.0028,0.0028,0.0024,0.0024,0.0028,0.0028
K,Check_201,0.50,0.43,2.88,0.17,0.12,2.02,2.09,0.35,0.36,2.01,2.08
K,Check_202,0.50,0.42,2.87,0.17,0.12,2.01,2.08,0.35,0.36,2.01,2.08
Lignin,mean,6.83 ±0.026,7.09 ±0.085,6.14 ±0.053,5.71 ±0.087,6.06 ±0.059,6.8 ±0.025,6.23 ±0.046,6.81 ±0.025,6.6 ±0.025,7.04 ±0.037,5.37 ±0.257
Lignin,range,6.77 - 6.89,6.85 - 7.35,5.99 - 6.31,5.43 - 5.99,5.89 - 6.25,6.74 - 6.86,6.1 - 6.38,6.75 - 6.87,6.54 - 6.66,6.95 - 7.15,4.79 - 6.13
Lignin,cv,0.0038,0.0120,0.0086,0.0153,0.0097,0.0037,0.0074,0.0037,0.0038,0.0053,0.0478
Lignin,Check_201,6.92,7.30,6.28,5.89,6.21,6.89,6.37,6.90,6.71,7.11,5.58
Lignin,Check_202,6.76,6.87,5.95,5.43,5.86,6.73,6.05,6.74,6.50,7.01,5.42
Mg,mean,2.78 ±0.005,3.01 ±0.005,0.55 ±0.002,1.83 ±0.003,1.77 ±0.003,-0.58 ±0.003,-0.56 ±0.003,2.92 ±0.005,2.81 ±0.005,0.99 ±0.002,1.01 ±0.002
Mg,range,2.77 - 2.8,3 - 3.03,0.54 - 0.56,1.82 - 1.84,1.76 - 1.78,-0.59 - -0.56,-0.57 - -0.54,2.91 - 2.94,2.8 - 2.82,0.98 - 1,1 - 1.02
Mg,cv, 0.0018, 0.0018, 0.0042, 0.0018, 0.0018,-0.0060,-0.0062, 0.0018, 0.0018, 0.0024, 0.0024
Mg,Check_201, 2.77, 3.00, 0.55, 1.83, 1.77,-0.57,-0.55, 2.91, 2.80, 0.99, 1.01
Mg,Check_202, 2.78, 3.00, 0.56, 1.83, 1.77,-0.57,-0.54, 2.92, 2.80, 1.00, 1.01
NDICP,mean,0.92 ±0.003,1.05 ±0.001,1.37 ±0.004,0.76 ±0.005,0.96 ±0.002,1.36 ±0.004,1.22 ±0.002,1 ±0.002,1.07 ±0.001,1.6 ±0.008,1.27 ±0.003
NDICP,range,0.92 - 0.93,1.04 - 1.05,1.36 - 1.38,0.75 - 0.77,0.95 - 0.96,1.35 - 1.37,1.22 - 1.23,0.99 - 1.01,1.07 - 1.08,1.58 - 1.62,1.27 - 1.28
NDICP,cv,0.0028,0.0013,0.0032,0.0063,0.0022,0.0032,0.0020,0.0017,0.0012,0.0048,0.0024
NDICP,Check_201,0.93,1.05,1.36,0.77,0.96,1.35,1.22,1.00,1.07,1.58,1.27
NDICP,Check_202,0.93,1.06,1.38,0.77,0.96,1.38,1.23,1.01,1.08,1.62,1.29
P,mean,0.34 ±0.004,0.31 ±0.001,0.34 ±0.005,0.36 ±0.007,0.31 ±0.003,0.31 ±0.001,0.31 ±0.002,0.29 ±0.002,0.34 ±0.005,0.31 ±0.002,0.33 ±0.003
