env,ID_2018,ID_2018,ID_2018,ID_2019,ID_2019,ID_2019,ID_2020,ID_2020,ID_2020,OR_2018,OR_2018,OR_2018,OR_2019,OR_2019,OR_2019,OR_2020,OR_2020,OR_2020,OR_2021,OR_2021,OR_2021,WA_2018,WA_2018,WA_2018,WA_2019,WA_2019,WA_2019,WA_2020,WA_2020,WA_2020,WA_2021,WA_2021,WA_2021
trait,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2
DM,0.000,0.042,0.011,0.002,0.002,0.037,0.006,0.020,0.000,0.122,0.007,,,,,,,,,,,,,,,,,,,,,,
ESC,0.117,0.109,0.006,0.057,0.000,0.000,0.067,0.063,0.000,0.459,0.296,,,,,,,,,,,,,,,,,,,,,,
Fat,0.005,0.003,0.002,0.009,0.005,0.000,0.007,0.006,0.000,0.005,0.000,,,,,,,,,,,,,,,,,,,,,,
K,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.021,,,,,,,,,,,,,,,,,,,,,,
Lignin,0.046,0.058,0.028,0.055,0.061,0.000,0.080,0.058,0.000,0.031,0.160,,,,,,,,,,,,,,,,,,,,,,
Mg,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.006,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,
NDICP,0.009,0.000,0.007,0.009,0.000,0.000,0.000,0.000,0.000,0.009,0.027,,,,,,,,,,,,,,,,,,,,,,
P,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,
Starch,0.000,0.005,0.014,0.020,0.047,0.000,0.050,0.117,0.000,0.574,1.995,,,,,,,,,,,,,,,,,,,,,,
WSC,0.041,0.124,0.007,0.176,0.087,0.002,0.081,0.021,0.000,0.418,0.315,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trait,ID_2018,ID_2019,ID_2020,OR_2018,OR_2019,OR_2020,OR_2021,WA_2018,WA_2019,WA_2020,WA_2021,,,,,,,,,,,,,,,,,,,,,,
ADF,1.299,3.026,3.061,4.705,4.398,5.416,4.444,3.569,2.697,5.079,3.795,,,,,,,,,,,,,,,,,,,,,,
ADICP,1.067,1.248,1.122,0.391,1.809,1.129,1.968,1.840,1.378,0.225,0.585,,,,,,,,,,,,,,,,,,,,,,
aNDF,1.958,3.816,3.656,1.551,5.374,6.797,5.554,4.711,4.131,7.128,4.681,,,,,,,,,,,,,,,,,,,,,,
Ash,1.539,1.677,0.533,2.019,0.193,0.933,2.188,1.982,1.484,0.290,2.133,,,,,,,,,,,,,,,,,,,,,,
Ca,1.672,1.963,1.660,1.559,1.201,0.266,1.824,1.782,1.577,1.267,1.560,,,,,,,,,,,,,,,,,,,,,,
CP,2.768,1.802,2.355,3.893,0.595,3.256,2.808,4.837,2.820,3.913,1.131,,,,,,,,,,,,,,,,,,,,,,
DM,1.703,1.151,0.144,0.656,1.841,1.446,1.172,1.311,0.179,1.091,1.741,,,,,,,,,,,,,,,,,,,,,,
ESC,0.625,0.248,0.323,0.553,2.022,1.575,2.369,1.680,1.743,0.613,1.268,,,,,,,,,,,,,,,,,,,,,,
Fat,1.024,1.604,0.915,1.978,1.979,1.544,1.292,1.276,1.403,1.624,0.206,,,,,,,,,,,,,,,,,,,,,,
K,1.627,0.803,1.658,1.511,1.365,0.999,1.445,1.399,1.722,0.205,1.952,,,,,,,,,,,,,,,,,,,,,,
Lignin,1.663,1.397,0.879,2.133,2.130,0.750,1.312,1.703,1.409,0.868,1.221,,,,,,,,,,,,,,,,,,,,,,
Mg,1.976,1.755,1.794,1.443,1.441,1.127,1.726,1.435,1.470,1.301,1.592,,,,,,,,,,,,,,,,,,,,,,
NDICP,1.774,1.575,0.838,1.046,1.809,1.866,1.747,1.196,0.119,0.167,0.392,,,,,,,,,,,,,,,,,,,,,,
P,1.960,0.956,1.497,1.521,0.328,1.850,1.174,1.610,1.054,0.143,0.813,,,,,,,,,,,,,,,,,,,,,,
