gen,ADF,ADICP,aNDF,Ash,Ca,CP,DM,ESC,Fat,K,Lignin,Mg,NDICP,P,Starch,WSC
1,30.6871440676139,0.55028518344712,35.8668761476187,9.44617342899517,1.17228035688335,21.4136649002584,94.5762823345971,6.21286562935966,1.41336281656241,0.606184126464634,6.10465437140158,0.574505133392636,0.914470047004337,0.629650662157875,1.54486050422347,7.88679119442184
2,31.3067253963459,0.543757083009691,36.6939379655502,9.44610293627588,1.16373639543713,21.1689945353956,94.58655562961,6.21059384919993,1.48488626772169,0.605664172873338,6.26000988801109,0.563456175631734,0.919645456000214,0.690407832653538,1.53485196918295,7.91072785565511
3,30.9533486026659,0.54579091609247,36.3238800338346,9.43213496261756,1.16416801018144,21.2763287944701,94.5962629127071,6.21398659864643,1.47610792554317,0.605139661011442,6.16016639801098,0.56753517215104,0.91172272982774,0.656369932989108,1.54499890948331,7.9068044028174
4,30.746566993609,0.545378135964845,36.1327257400695,9.45396350371682,1.15951203122305,21.4225562049515,94.5679425431559,6.21791911861988,1.44076989575653,0.602747595468419,6.06335583709691,0.574883176276494,0.917743603667819,0.743271394241062,1.54787929187529,7.93021524794336
5,30.6304713605122,0.542442472686331,35.9152982653824,9.42811353632964,1.16827828501925,21.3002286890021,94.5869290058481,6.212293307115,1.44416508477975,0.605021770090959,6.02582752065369,0.568971970381804,0.912251769397041,0.74592270431215,1.54280506657102,7.90726039118169
6,31.1915921115182,0.546141489446419,36.3657717292563,9.44467098476156,1.16210385628311,21.2795731214106,94.5928936678561,6.205052124642,1.46573447829726,0.603959453989351,6.18427492407339,0.570560043544945,0.916929232449868,0.682648670856466,1.5170750805205,7.91056479305606
7,30.4789461469427,0.547065745286614,35.7813328198648,9.45371837317037,1.16183895280203,21.4855295265036,94.5730278637383,6.21907104925665,1.38763604025131,0.603715176928133,6.03484041199312,0.576587181947167,0.921283722279619,0.729223289202571,1.54128683629351,7.91715904940386
8,30.9857247523946,0.548918670935279,36.0488272202358,9.42223238406943,1.16842682918985,21.623489441445,94.5811241091145,6.19278267844905,1.42317534660389,0.607166888449562,6.15602447172833,0.570070968657693,0.91572381563382,0.82646394775763,1.5152354227876,7.88842531915536
9,30.38224230931,0.547442754583494,35.553251852283,9.4652345832936,1.16983580042866,21.7340640094,94.5863196883006,6.20515600779384,1.41228214768307,0.606511386901075,6.04423184303953,0.575262542435377,0.915149198206236,0.850099911792423,1.51530033709934,7.91398961789289
10,30.704576225811,0.545752679261907,35.801173942832,9.46213740916406,1.16270521179948,21.5679338035082,94.5739207353976,6.19851016904251,1.40061429251624,0.606183764547581,6.09368880169013,0.573961611504408,0.915387566785468,0.750567584394037,1.52714200348252,7.89559556490153
11,30.6659057109489,0.549365597696573,35.9546549210729,9.44286633573257,1.15773315145171,21.4840206714611,94.5798972206575,6.20776097214939,1.4245819238754,0.605119989210559,6.13731999330131,0.572859069959,0.914474544331307,0.759544744676068,1.54007115071634,7.91474824272491
12,30.0714267026132,0.543766314148071,35.3766763122601,9.41802868641791,1.158108184373,21.7204095592514,94.5716894561326,6.23391011178468,1.40409261670409,0.603619359220845,5.98029558681437,0.573297732364262,0.918438071654279,0.920402045161335,1.56246586964656,7.91593052433806
13,30.4876199222865,0.546746235685511,35.756806911651,9.43304178358384,1.16276961534212,21.5235524971376,94.5878633386704,6.21306888275895,1.37162017336023,0.605481255170851,6.0532089428445,0.571818064870719,0.920039263401039,0.813448614954608,1.54141539698019,7.92215019745641
14,30.7221372404215,0.547190286715611,35.8657419695788,9.42649654969186,1.16142064108419,21.4832872988511,94.5774962437975,6.20346598920725,1.41296746017455,0.604857832666363,6.06581547188262,0.573504954039886,0.919321016347629,0.698503323450796,1.5287185032013,7.89965026165075
15,30.3977085189376,0.543274223852088,35.5807317813274,9.42267618841765,1.17009855719486,21.5431433651864,94.5910666642159,6.20867654062933,1.42380535962581,0.607064754768089,6.0076754225646,0.572394803628966,0.917499222684888,0.796769910403052,1.54295611521113,7.92368139888746
16,30.6803377296949,0.546274801377437,35.8815841575428,9.42911405716887,1.16639023640184,21.5042894028413,94.5801910744522,6.20167955529817,1.42806955905899,0.607473149959576,6.04739849447431,0.571783271430477,0.915856445994459,0.779176024021539,1.54582903488398,7.91446416027104
17,30.3093258356349,0.545783566635821,35.5199342297138,9.42140033887385,1.16332265777426,21.5368897909022,94.5661539128403,6.2081745538072,1.38856432478937,0.607698819220827,6.01257861818897,0.574023072795336,0.919558054957285,0.736508941244647,1.55766906297677,7.9031751857133
