trait,stat,ID_2018,ID_2019,ID_2020,OR_2018,OR_2019,OR_2020,OR_2021,WA_2018,WA_2019,WA_2020,WA_2021
ESC,new_cv,0.2052,0.0875,0.0837,0.1021,0.0933,0.1090,0.1094,0.1082,0.0963,0.1287,0.0767
ESC,201_mean,4.41 ±0.834,6.26 ±0.671,6.46 ±0.681,5.86 ±0.589,6.04 ±0.553,6.27 ±0.81,6.75 ±0.792,5.88 ±0.806,5.62 ±0.435,6.22 ±0.563,9.17 ±0.508
ESC,201_range,3.25 - 5.39,4.83 - 7.07,5.37 - 7.72,4.9 - 6.85,5.08 - 7.18,4.53 - 7.37,5.82 - 8.55,4.86 - 7.38,4.92 - 6.34,5.64 - 7.49,8.27 - 9.83
ESC,201_cv,0.1892,0.1072,0.1054,0.1005,0.0916,0.1292,0.1173,0.1372,0.0773,0.0905,0.0554
ESC,202_mean,5.01 ±0.927,7.06 ±0.27,6.79 ±0.653,6.28 ±0.611,6.24 ±0.864,6.53 ±0.821,7.25 ±0.555,6.6 ±0.696,5.71 ±0.537,6.18 ±0.564,8.7 ±0.434
ESC,202_range,3.49 - 6.56,6.68 - 7.39,5.95 - 8.07,5.05 - 6.97,4.94 - 7.67,5.23 - 7.84,6.2 - 8.07,5.48 - 8.17,5.06 - 6.87,5.51 - 7.17,7.88 - 9.29
ESC,202_cv,0.1850,0.0382,0.0961,0.0973,0.1384,0.1256,0.0766,0.1055,0.0940,0.0913,0.0499
Fat,new_mean,1.83 ±0.108,1.86 ±0.094,1.99 ±0.126,2.15 ±0.148,2.08 ±0.147,1.71 ±0.144,1.89 ±0.151,1.94 ±0.14,1.89 ±0.105,1.92 ±0.154,1.96 ±0.126
Fat,new_range,1.5 - 2.06,1.47 - 2.12,1.43 - 2.26,1.38 - 2.51,1.72 - 2.47,1.33 - 2.08,1.5 - 2.22,1.61 - 2.29,1.62 - 2.16,1.53 - 2.45,1.61 - 2.34
Fat,new_cv,0.0592,0.0503,0.0633,0.0689,0.0704,0.0845,0.0798,0.0719,0.0555,0.0798,0.0647
Fat,201_mean,1.85 ±0.096,1.83 ±0.074,1.87 ±0.17,2.14 ±0.151,2.1 ±0.191,1.71 ±0.127,1.8 ±0.106,1.91 ±0.144,1.87 ±0.087,1.78 ±0.17,1.94 ±0.112
Fat,201_range,1.69 - 1.98,1.73 - 1.93,1.43 - 2.02,1.92 - 2.36,1.76 - 2.4,1.49 - 1.93,1.63 - 1.95,1.69 - 2.13,1.75 - 2.01,1.54 - 2.08,1.81 - 2.11
Fat,201_cv,0.0519,0.0405,0.0909,0.0706,0.0911,0.0743,0.0585,0.0757,0.0467,0.0955,0.0576
Fat,202_mean,1.82 ±0.093,1.9 ±0.081,1.99 ±0.139,2.2 ±0.113,2.23 ±0.094,1.76 ±0.128,1.99 ±0.147,1.99 ±0.08,1.9 ±0.089,2.01 ±0.157,2.01 ±0.148
Fat,202_range,1.64 - 1.94,1.72 - 2.01,1.81 - 2.18,2 - 2.38,2.04 - 2.35,1.54 - 1.96,1.61 - 2.16,1.88 - 2.13,1.73 - 2.04,1.81 - 2.36,1.84 - 2.23
Fat,202_cv,0.0510,0.0425,0.0699,0.0515,0.0420,0.0726,0.0740,0.0403,0.0465,0.0779,0.0738
K,new_mean,0.39 ±0.026,0.32 ±0.02,2.76 ±0.178,0.32 ±0.027,0.26 ±0.025,2.16 ±0.236,2.23 ±0.238,0.31 ±0.029,0.32 ±0.028,1.98 ±0.239,2.07 ±0.24
K,new_range,0.33 - 0.47,0.28 - 0.37,2.27 - 3.33,0.21 - 0.43,0.2 - 0.33,1.45 - 2.86,1.53 - 2.85,0.23 - 0.38,0.25 - 0.39,1.11 - 2.58,1.49 - 2.62
K,new_cv,0.0664,0.0607,0.0645,0.0856,0.0975,0.1090,0.1067,0.0931,0.0862,0.1208,0.1160
K,201_mean,0.39 ±0.028,0.32 ±0.013,2.76 ±0.212,0.31 ±0.018,0.26 ±0.028,2.14 ±0.276,2.29 ±0.219,0.3 ±0.029,0.31 ±0.025,2.01 ±0.178,2.05 ±0.181
K,201_range,0.36 - 0.45,0.3 - 0.33,2.47 - 3.1,0.28 - 0.34,0.22 - 0.31,1.65 - 2.58,1.92 - 2.54,0.25 - 0.33,0.28 - 0.35,1.63 - 2.2,1.75 - 2.34
K,201_cv,0.0728,0.0401,0.0766,0.0595,0.1079,0.1292,0.0955,0.0955,0.0820,0.0886,0.0883
K,202_mean,0.38 ±0.02,0.31 ±0.014,2.7 ±0.176,0.32 ±0.027,0.27 ±0.028,2.19 ±0.292,2.26 ±0.192,0.31 ±0.023,0.33 ±0.019,2.09 ±0.211,2.24 ±0.225
K,202_range,0.34 - 0.41,0.29 - 0.33,2.39 - 3.01,0.27 - 0.35,0.23 - 0.31,1.76 - 2.64,1.95 - 2.63,0.28 - 0.35,0.3 - 0.36,1.61 - 2.36,1.96 - 2.67
K,202_cv,0.0511,0.0454,0.0653,0.0843,0.1025,0.1335,0.0847,0.0730,0.0586,0.1008,0.1007
Lignin,new_mean,6.02 ±0.321,6.3 ±0.317,5.33 ±0.389,6.48 ±0.447,6.84 ±0.447,7.59 ±0.486,7.02 ±0.437,6.94 ±0.518,6.63 ±0.377,7.1 ±0.48,5.43 ±0.48
Lignin,new_range,5.03 - 7.16,5.4 - 7.16,4.4 - 7.33,5.21 - 8.51,5.17 - 8.21,6.28 - 8.66,5.5 - 8.18,5.77 - 8.18,5.69 - 7.63,5.51 - 8.26,4.21 - 6.75
Lignin,new_cv,0.0533,0.0503,0.0729,0.0689,0.0654,0.0640,0.0623,0.0746,0.0568,0.0677,0.0884
Lignin,201_mean,6.05 ±0.169,6.55 ±0.334,5.76 ±0.561,6.66 ±0.502,6.92 ±0.535,7.75 ±0.489,7.29 ±0.309,7.21 ±0.479,6.69 ±0.367,7.52 ±0.476,5.6 ±0.314
Lignin,201_range,5.84 - 6.35,6.06 - 6.95,5.14 - 7.33,5.96 - 7.43,6.15 - 7.64,6.95 - 8.54,6.85 - 7.77,6.56 - 8.07,6.37 - 7.55,6.41 - 8.1,5.18 - 6.07
Lignin,201_cv,0.0280,0.0510,0.0974,0.0754,0.0773,0.0631,0.0425,0.0664,0.0548,0.0633,0.0560
Lignin,202_mean,5.86 ±0.338,6 ±0.189,5.3 ±0.277,5.99 ±0.406,6.39 ±0.349,7.39 ±0.495,6.82 ±0.388,6.6 ±0.381,6.62 ±0.333,7.05 ±0.697,5.52 ±0.186
Lignin,202_range,5.44 - 6.46,5.61 - 6.31,4.94 - 5.82,5.36 - 6.87,5.54 - 6.78,6.61 - 8.02,6.12 - 7.52,5.77 - 7.08,6.17 - 7.46,5.43 - 7.86,5.12 - 5.68
Lignin,202_cv,0.0576,0.0315,0.0523,0.0677,0.0545,0.0669,0.0570,0.0577,0.0503,0.0989,0.0337
Mg,new_mean,2.58 ±0.183,2.81 ±0.162,0.36 ±0.032,2.7 ±0.207,2.64 ±0.139,0.29 ±0.033,0.31 ±0.033,2.32 ±0.209,2.19 ±0.165,0.31 ±0.037,0.32 ±0.032
Mg,new_range,2.06 - 3,2.31 - 3.37,0.27 - 0.45,2.25 - 3.52,2.29 - 3.03,0.22 - 0.38,0.22 - 0.39,1.82 - 2.93,1.7 - 2.56,0.24 - 0.4,0.26 - 0.41
Mg,new_cv,0.0710,0.0577,0.0883,0.0767,0.0527,0.1106,0.1057,0.0899,0.0754,0.1164,0.1004
Mg,201_mean,2.61 ±0.189,2.8 ±0.082,0.35 ±0.04,2.76 ±0.171,2.66 ±0.092,0.3 ±0.038,0.3 ±0.029,2.37 ±0.275,2.21 ±0.169,0.29 ±0.034,0.32 ±0.027
Mg,201_range,2.29 - 2.87,2.66 - 2.9,0.27 - 0.41,2.55 - 3.05,2.51 - 2.81,0.24 - 0.35,0.27 - 0.36,1.82 - 2.68,1.85 - 2.39,0.24 - 0.36,0.28 - 0.35
Mg,201_cv,0.0723,0.0294,0.1153,0.0620,0.0344,0.1280,0.0969,0.1163,0.0762,0.1174,0.0863
Mg,202_mean,2.66 ±0.147,2.84 ±0.147,0.36 ±0.027,2.66 ±0.184,2.62 ±0.074,0.31 ±0.043,0.33 ±0.033,2.37 ±0.192,2.14 ±0.122,0.32 ±0.058,0.33 ±0.03
Mg,202_range,2.43 - 2.9,2.67 - 3.21,0.32 - 0.4,2.41 - 3.02,2.49 - 2.71,0.24 - 0.39,0.26 - 0.38,2.05 - 2.68,1.87 - 2.3,0.27 - 0.44,0.28 - 0.37
Mg,202_cv,0.0552,0.0519,0.0751,0.0691,0.0283,0.1362,0.1007,0.0808,0.0571,0.1803,0.0892
NDICP,new_mean,0.97 ±0.201,1.09 ±0.23,1.42 ±0.403,0.91 ±0.184,1.11 ±0.259,1.52 ±0.339,1.38 ±0.357,0.79 ±0.187,0.87 ±0.233,1.39 ±0.334,1.07 ±0.27
NDICP,new_range,0.52 - 1.55,0.63 - 1.44,0.31 - 2.21,0.52 - 1.69,0.55 - 2.34,0.71 - 2.43,0.47 - 2.23,0.46 - 1.26,0.41 - 1.33,0.48 - 2.17,0.18 - 1.78
NDICP,new_cv,0.2072,0.2106,0.2831,0.2008,0.2326,0.2231,0.2592,0.2366,0.2688,0.2406,0.2532
NDICP,201_mean,0.99 ±0.143,1.14 ±0.269,1.25 ±0.528,0.94 ±0.165,1.21 ±0.273,1.61 ±0.415,1.49 ±0.355,0.79 ±0.161,0.84 ±0.246,1.29 ±0.39,1.16 ±0.174
NDICP,201_range,0.68 - 1.18,0.72 - 1.42,0.41 - 2.08,0.68 - 1.21,0.96 - 1.84,1.09 - 2.3,0.87 - 1.88,0.51 - 1.01,0.51 - 1.24,0.59 - 1.77,0.91 - 1.51
NDICP,201_cv,0.1446,0.2356,0.4216,0.1750,0.2250,0.2574,0.2390,0.2044,0.2936,0.3012,0.1507
NDICP,202_mean,1.06 ±0.195,1.15 ±0.178,1.39 ±0.434,1 ±0.16,1.1 ±0.32,1.59 ±0.366,1.38 ±0.415,0.81 ±0.152,0.88 ±0.27,1.64 ±0.382,1.23 ±0.204
NDICP,202_range,0.77 - 1.42,0.8 - 1.36,0.3 - 1.86,0.75 - 1.27,0.65 - 1.56,0.99 - 2.17,0.59 - 1.86,0.55 - 1.03,0.49 - 1.18,0.97 - 2.05,1.02 - 1.72
NDICP,202_cv,0.1832,0.1541,0.3134,0.1600,0.2925,0.2301,0.3014,0.1885,0.3076,0.2321,0.1651
P,new_mean,0.35 ±0.019,0.32 ±0.017,0.36 ±0.016,0.36 ±0.026,0.31 ±0.02,0.31 ±0.018,0.31 ±0.019,0.28 ±0.017,0.33 ±0.019,0.3 ±0.024,0.31 ±0.016
P,new_range,0.29 - 0.4,0.25 - 0.36,0.32 - 0.4,0.28 - 0.42,0.25 - 0.39,0.26 - 0.36,0.26 - 0.36,0.23 - 0.32,0.28 - 0.37,0.22 - 0.35,0.27 - 0.36
P,new_cv,0.0541,0.0531,0.0440,0.0733,0.0648,0.0573,0.0598,0.0614,0.0579,0.0804,0.0509
P,201_mean,0.35 ±0.015,0.31 ±0.01,0.35 ±0.012,0.36 ±0.022,0.32 ±0.018,0.31 ±0.017,0.32 ±0.02,0.28 ±0.015,0.33 ±0.017,0.3 ±0.017,0.31 ±0.011
P,201_range,0.33 - 0.37,0.3 - 0.33,0.34 - 0.38,0.32 - 0.39,0.29 - 0.35,0.29 - 0.34,0.27 - 0.35,0.25 - 0.3,0.3 - 0.36,0.27 - 0.32,0.29 - 0.32
P,201_cv,0.0422,0.0315,0.0348,0.0627,0.0559,0.0551,0.0640,0.0553,0.0517,0.0558,0.0368
P,202_mean,0.37 ±0.018,0.32 ±0.018,0.36 ±0.01,0.37 ±0.024,0.32 ±0.013,0.32 ±0.023,0.32 ±0.031,0.3 ±0.015,0.33 ±0.009,0.32 ±0.021,0.32 ±0.019
