"","gen","row:col!R","row:col!row!cor","row:col!col!cor","h2"
"ID_ADF",0.747401678275779,1,-0.0972773787061407,0.389080511642639,0.605792001361343
"ID_ADICP",0.328100551342716,1,0.113585932795883,0.002640357163979,0.738421632105016
"ID_ADICP_pct",7.77385006065711e-07,1,0.0694756564895566,-0.0271854702184306,8.04231008441372e-06
"ID_aNDF",0.745131452807272,1,-0.0272055412109536,0.406623714816581,0.632023991320035
"ID_aNDFo",1.11892844168549,1,0.131423274175134,0.513926729760872,0.63421306566568
"ID_Ash",5.60069436211039e-07,1,0.0781736976267529,0.0974261672607381,3.18945376327203e-06
"ID_Ca",0.188511803459618,1,-0.0330926718343476,0.15619665378752,0.498970990155403
"ID_CP_Av",0.610140715779258,1,0.127700957476027,0.22006565807837,0.636951713199422
"ID_Cprot",0.576067284357847,1,0.126704181971158,0.217897267242143,0.62570527634121
"ID_DM",1.01192894248423e-07,1,0.123037467482767,0.363518330040239,2.07977941518102e-07
"ID_Fat",2.44351682306202,1,-0.136183166043468,0.184859567370227,0.883872014020576
"ID_K",0.443817125512828,1,-0.0298627578135127,-0.0229348774146802,0.893684925616365
"ID_Ligin",0.637742169202166,1,-0.0801809008877605,0.11430328590849,0.766308546473598
"ID_Lig_NEG",6.55878383141855e-08,1,-0.0949354341103535,0.240659423959986,1.95437516155609e-07
"ID_Lig_NEL",0.295327104425141,1,-0.0080902499899479,0.284919909596645,0.50196906177823
"ID_Lig_NEM",2.98856620021909e-07,1,-0.11359277622855,0.203790031980219,9.41627368845239e-07
"ID_Lig_TDN",5.80533610331641e-07,1,-0.115522098714364,0.254981368643954,1.56687521670742e-06
"ID_Mg",0.425165006056542,1,0.220688006474536,0.322093483277693,0.439244325897677
"ID_Moist",1.01192894248423e-07,1,0.115684998879379,0.374380174072914,2.06488603839421e-07
"ID_NDF_D",2.03056007619694,1,0.629576623077675,0.434669186342689,0.656118719960336
"ID_NDFD120",0.683266389860697,1,0.10954819224355,0.0135740821084619,0.847316461879808
"ID_NDFD240",0.35072585893659,1,0.0815194172414339,0.119593915430032,0.635558083351378
"ID_NDF_I",0.350725858892173,1,0.0815194172397436,0.119593915422545,0.635558083332615
"ID_NDF_Kd",6.93104084940608e-07,1,0.00550633411038188,0.0433560112499022,1.41846292560382e-05
"ID_NDICP",0.400084217865512,1,0.274520267358252,0.0879602089493114,0.524656099243308
"ID_NFC",0.0368791073157701,1,0.174480471929728,0.122640654757224,0.110416411610866
"ID_NRC",0.477218857549808,1,-0.0979050973511924,0.296105298076308,0.54775348270157
"ID_P",0.974257042710349,1,0.134119239518855,0.0514294105728103,0.840017469095713
"ID_Psolu",0.383146931233584,1,-0.0475743453102552,0.176886383301277,0.630582786483059
"ID_RFV",0.732884071321816,1,-0.0328304940430276,0.417088799932611,0.619616153304999
"ID_RUP",0.271105687875653,1,-0.0910203386210101,0.0776338239554388,0.616485765121437
"ID_S",1.2083005634666,1,0.334662759818044,0.539664617518263,0.580180712931744
"ID_S_Milk30",0.0405754772174774,1,-0.117048016108624,0.208188453058455,0.110918950620663
"ID_S_Milk30_NEG",0.0708964033297618,1,-0.123971163041045,0.171358787170009,0.193586296137098
"ID_S_Milk30_NEL",0.0248128517405206,1,-0.12289516359121,0.233615272571753,0.065070381294942
"ID_S_Milk30_NEM",0.0755742694644534,1,-0.125844879342704,0.153520606111227,0.212921399807218
"ID_S_Milk30_TDN",0.0684606937418209,1,-0.161844839443495,0.150869203230857,0.17960448896874
"ID_S_Milk48_NEG",0.139643967859598,1,-0.105163759003945,0.20159288552357,0.312822079505796
"ID_S_Milk48_NEL",3.49328502121967e-07,1,-0.11055286021072,0.245266816808561,9.81756158324064e-07
"ID_S_Milk48_NEM",0.171231222844274,1,-0.0770425167087708,0.219861693821661,0.36577283118669
"ID_S_Milk48_S",0.0461221876074865,1,-0.116313276387606,0.224922506408929,0.119068642267462
"ID_S_Milk48_TDN",0.133645338554557,1,-0.11242882905823,0.198833438750225,0.300388972099327
"ID_S_NDFd24",0.276901172736779,1,0.00580531685210957,0.0932431503517499,0.736537938380526
"ID_S_NDFd30",0.291030612793426,1,0.0232678896493329,0.0903355466899057,0.719244001875897
"ID_S_NDFd48",0.493488221049544,1,0.127694478013728,0.0965641364920615,0.687551928623584
"ID_S_RFQ",0.326702516464107,1,-0.0565586633843657,0.210363871856779,0.550351632778332
