"trait","comp","diff","lwr.ci","upr.ci","pval","loc"
"ADF","N_1-C_202",1.47105598876091,-1.90383861220408,4.84595058972591,0.999116025766671,"ID"
"ADF","N_10-C_202",0.955612826184936,-2.41928177478006,4.33050742714993,0.999999999999825,"ID"
"ADF","N_100-C_202",1.64921550849648,-1.72567909246851,5.02411010946148,0.986565214747903,"ID"
"ADF","N_101-C_202",2.08188144126673,-1.29301315969827,5.45677604223172,0.753757848881842,"ID"
"ADF","N_102-C_202",1.88009671128724,-1.49479788967775,5.25499131225224,0.902321212147002,"ID"
"ADF","N_103-C_202",-0.552703078552671,-3.92759767951767,2.82219152241232,1,"ID"
"ADF","N_104-C_202",1.03087321003197,-2.34402139093302,4.40576781099697,0.999999999942353,"ID"
"ADF","N_106-C_202",1.32384477410058,-2.05104982686441,4.69873937506558,0.999974037631345,"ID"
"ADF","N_107-C_202",0.779892543161711,-2.59500205780328,4.15478714412671,1,"ID"
"ADF","N_108-C_202",2.92166688286893,-0.453227718096061,6.29656148383393,0.16582765402466,"ID"
"ADF","N_109-C_202",0.890268251382853,-2.48462634958214,4.26516285234785,0.999999999999999,"ID"
"ADF","N_11-C_202",1.36422636127924,-2.01066823968575,4.73912096224423,0.999920236555599,"ID"
"ADF","N_110-C_202",1.45927268282378,-1.91562191814121,4.83416728378878,0.999281846526116,"ID"
"ADF","N_111-C_202",1.1989137004462,-2.17598090051879,4.5738083014112,0.999999628958373,"ID"
"ADF","N_112-C_202",0.703454195146907,-2.67144040581809,4.0783487961119,1,"ID"
"ADF","N_113-C_202",0.661527665066771,-2.71336693589822,4.03642226603177,1,"ID"
"ADF","N_114-C_202",2.34182548807571,-1.03306911288928,5.7167200890407,0.525687126244079,"ID"
"ADF","N_115-C_202",1.95992871277628,-1.41496588818872,5.33482331374127,0.850461511045253,"ID"
"ADF","N_116-C_202",-0.635204095285093,-4.01009869625009,2.7396905056799,1,"ID"
"ADF","N_117-C_202",1.62528213629527,-1.74961246466973,5.00017673726026,0.989851417589729,"ID"
"ADF","N_118-C_202",0.583134864117007,-2.79175973684799,3.958029465082,1,"ID"
"ADF","N_119-C_202",0.835544525422254,-2.53935007554274,4.21043912638725,1,"ID"
"ADF","N_12-C_202",0.116530621096221,-3.25836397986877,3.49142522206122,1,"ID"
"ADF","N_120-C_202",0.139893984141711,-3.23500061682328,3.51478858510671,1,"ID"
"ADF","N_121-C_202",0.819330329154528,-2.55556427181047,4.19422493011952,1,"ID"
"ADF","N_122-C_202",0.614304938197705,-2.76058966276729,3.9891995391627,1,"ID"
"ADF","N_123-C_202",0.97817212326429,-2.3967224777007,4.35306672422928,0.999999999998814,"ID"
"ADF","N_124-C_202",0.307877913920354,-3.06701668704464,3.68277251488535,1,"ID"
"ADF","N_125-C_202",0.663769767606606,-2.71112483335839,4.0386643685716,1,"ID"
"ADF","N_126-C_202",1.3789816649406,-1.9959129360244,4.75387626590559,0.999886041979182,"ID"
"ADF","N_127-C_202",0.475128527660086,-2.89976607330491,3.85002312862508,1,"ID"
"ADF","N_128-C_202",2.24189656792763,-1.13299803303737,5.61679116889262,0.613643084424288,"ID"
"ADF","N_129-C_202",0.983398229368046,-2.39149637159695,4.35829283033304,0.999999999997853,"ID"
"ADF","N_13-C_202",0.115283375216809,-3.25961122574819,3.4901779761818,1,"ID"
"ADF","N_130-C_202",-0.805624080730848,-4.18051868169584,2.56927052023415,1,"ID"
"ADF","N_131-C_202",2.45666375204759,-0.918230848917405,5.83155835301258,0.43354595632141,"ID"
"ADF","N_132-C_202",0.951365277822678,-2.42352932314232,4.32625987878767,0.999999999999892,"ID"
"ADF","N_133-C_202",-0.744207330787109,-4.1191019317521,2.63068727017789,1,"ID"
"ADF","N_134-C_202",0.60575647705409,-2.7691381239109,3.98065107801908,1,"ID"
"ADF","N_135-C_202",0.589006976282857,-2.78588762468214,3.96390157724785,1,"ID"
"ADF","N_136-C_202",2.23773679595782,-1.13715780500717,5.61263139692282,0.619076753182886,"ID"
"ADF","N_137-C_202",0.991419853273744,-2.38347474769125,4.36631445423874,0.999999999996518,"ID"
"ADF","N_138-C_202",0.322037611798248,-3.05285698916675,3.69693221276324,1,"ID"
"ADF","N_139-C_202",1.56463004221061,-1.81026455875439,4.9395246431756,0.995560579267005,"ID"
"ADF","N_14-C_202",0.682069478118418,-2.69282512284658,4.05696407908341,1,"ID"
"ADF","N_140-C_202",1.60024826998777,-1.77464633097722,4.97514287095276,0.992578918417049,"ID"
"ADF","N_141-C_202",1.52464726278273,-1.85024733818226,4.89954186374773,0.997675736224389,"ID"
"ADF","N_142-C_202",1.63552002937466,-1.73937457159033,5.01041463033966,0.988467418619507,"ID"
"ADF","N_143-C_202",1.21064348412672,-2.16425111683827,4.58553808509172,0.999999470471024,"ID"
"ADF","N_144-C_202",0.500129315399512,-2.87476528556548,3.87502391636451,1,"ID"
"ADF","N_145-C_202",1.40354733338959,-1.97134726757541,4.77844193435458,0.999794538507042,"ID"
"ADF","N_146-C_202",0.46512417072007,-2.90977043024492,3.84001877168506,1,"ID"
"ADF","N_147-C_202",1.07108928784476,-2.30380531312023,4.44598388880976,0.999999999341698,"ID"
"ADF","N_148-C_202",0.238842866954354,-3.13605173401064,3.61373746791935,1,"ID"
"ADF","N_149-C_202",1.05069559438867,-2.32419900657633,4.42559019535366,0.999999999780689,"ID"
"ADF","N_15-C_202",0.614767492124031,-2.76012710884096,3.98966209308903,1,"ID"
"ADF","N_150-C_202",1.02114105179929,-2.3537535491657,4.39603565276429,0.999999999974657,"ID"
"ADF","N_151-C_202",1.50448603433525,-1.87040856662974,4.87938063530025,0.998327137178473,"ID"
"ADF","N_152-C_202",-0.932336193009309,-4.3072307939743,2.44255840795569,0.999999999999971,"ID"
"ADF","N_153-C_202",-0.618433962173061,-3.99332856313806,2.75646063879193,1,"ID"
"ADF","N_154-C_202",-0.118017448264954,-3.49291204922995,3.25687715270004,1,"ID"
"ADF","N_155-C_202",0.705297004203612,-2.66959759676138,4.08019160516861,1,"ID"
"ADF","N_156-C_202",1.29772447492685,-2.07717012603815,4.67261907589184,0.999988005656681,"ID"
"ADF","N_157-C_202",1.52340547826146,-1.85148912270353,4.89830007922646,0.997660167066841,"ID"
"ADF","N_158-C_202",0.769025087384122,-2.60586951358087,4.14391968834912,1,"ID"
"ADF","N_159-C_202",0.842751266139853,-2.53214333482514,4.21764586710485,1,"ID"
"ADF","N_16-C_202",0.930436786504369,-2.44445781446063,4.30533138746936,0.999999999999915,"ID"
"ADF","N_160-C_202",-1.04408359719737,-4.41897819816237,2.33081100376762,0.999999999876809,"ID"
"ADF","N_161-C_202",0.930476227198664,-2.44441837376633,4.30537082816366,0.99999999999998,"ID"
"ADF","N_162-C_202",0.346115611916215,-3.02877898904878,3.72101021288121,1,"ID"
"ADF","N_163-C_202",-0.348294168531286,-3.72318876949628,3.02660043243371,1,"ID"
"ADF","N_164-C_202",-1.15822560418895,-4.53312020515394,2.21666899677605,0.999999942373813,"ID"
"ADF","N_165-C_202",-0.174366101941363,-3.54926070290636,3.20052849902363,1,"ID"
"ADF","N_166-C_202",-0.907016188486381,-4.28191078945138,2.46787841247861,0.999999999999998,"ID"
"ADF","N_167-C_202",0.778452636343783,-2.59644196462121,4.15334723730878,1,"ID"
"ADF","N_168-C_202",1.81161765938917,-1.56327694157583,5.18651226035416,0.93836988392443,"ID"
"ADF","N_169-C_202",-3.09901971194658,-6.47391431291157,0.275874889018416,0.106827851174402,"ID"
"ADF","N_17-C_202",0.928635382449954,-2.44625921851504,4.30352998341495,0.999999999999983,"ID"
"ADF","N_170-C_202",-0.473982163705248,-3.84887676467024,2.90091243725975,1,"ID"
"ADF","N_171-C_202",0.191810398215981,-3.18308420274901,3.56670499918098,1,"ID"
"ADF","N_172-C_202",0.379295093248952,-2.99559950771604,3.75418969421395,1,"ID"
"ADF","N_173-C_202",0.607805100799737,-2.76708950016526,3.98269970176473,1,"ID"
"ADF","N_175-C_202",0.436008381179487,-2.93888621978551,3.81090298214448,1,"ID"
"ADF","N_176-C_202",1.39503118409219,-1.9798634168728,4.76992578505718,0.99983172398243,"ID"
"ADF","N_177-C_202",0.278107083584615,-3.09678751738038,3.65300168454961,1,"ID"
"ADF","N_178-C_202",0.163400952860279,-3.21149364810472,3.53829555382527,1,"ID"
"ADF","N_179-C_202",1.05784837732988,-2.31704622363512,4.43274297829487,0.999999999712683,"ID"
"ADF","N_18-C_202",2.8537738133467,-0.521120787618292,6.2286684143117,0.19468017379941,"ID"
"ADF","N_180-C_202",1.73319769405494,-1.64169690691006,5.10809229501993,0.967617510921428,"ID"
"ADF","N_181-C_202",0.660873452641162,-2.71402114832383,4.03576805360616,1,"ID"
"ADF","N_182-C_202",0.373623725830118,-3.00127087513488,3.74851832679511,1,"ID"
"ADF","N_183-C_202",0.452806415112978,-2.92208818585202,3.82770101607797,1,"ID"
"ADF","N_184-C_202",0.897744760673458,-2.47714984029154,4.27263936163845,0.999999999999998,"ID"
"ADF","N_185-C_202",1.67649272191651,-1.69840187904849,5.0513873228815,0.981584055593607,"ID"
"ADF","N_186-C_202",3.19835069820457,-0.17654390276042,6.57324529916957,0.0823198866479335,"ID"
