"gen","ADF_ID_2018","ADF_ID_2019","ADF_OR_2018","ADF_OR_2019","ADF_WA_2018","ADF_WA_2019","ADICP_ID_2018","ADICP_ID_2019","ADICP_OR_2018","ADICP_OR_2019","ADICP_WA_2018","ADICP_WA_2019","aNDF_ID_2018","aNDF_ID_2019","aNDF_OR_2018","aNDF_OR_2019","aNDF_WA_2018","aNDF_WA_2019","Ash_ID_2018","Ash_ID_2019","Ash_OR_2018","Ash_OR_2019","Ash_WA_2018","Ash_WA_2019","Ca_ID_2018","Ca_ID_2019","Ca_OR_2018","Ca_OR_2019","Ca_WA_2018","Ca_WA_2019","CP_ID_2018","CP_ID_2019","CP_OR_2018","CP_OR_2019","CP_WA_2018","CP_WA_2019","DM_ID_2018","DM_ID_2019","DM_OR_2018","DM_OR_2019","DM_WA_2018","DM_WA_2019","ESC_ID_2018","ESC_ID_2019","ESC_OR_2018","ESC_OR_2019","ESC_WA_2018","ESC_WA_2019","Fat_ID_2018","Fat_ID_2019","Fat_OR_2018","Fat_OR_2019","Fat_WA_2018","Fat_WA_2019","K_ID_2018","K_ID_2019","K_OR_2018","K_OR_2019","K_WA_2018","K_WA_2019","Lignin_ID_2018","Lignin_ID_2019","Lignin_OR_2018","Lignin_OR_2019","Lignin_WA_2018","Lignin_WA_2019","Mg_ID_2018","Mg_ID_2019","Mg_OR_2018","Mg_OR_2019","Mg_WA_2018","Mg_WA_2019","NDICP_ID_2018","NDICP_ID_2019","NDICP_OR_2018","NDICP_OR_2019","NDICP_WA_2018","NDICP_WA_2019","P_ID_2018","P_ID_2019","P_OR_2018","P_OR_2019","P_WA_2018","P_WA_2019","Starch_ID_2018","Starch_ID_2019","Starch_OR_2018","Starch_OR_2019","Starch_WA_2018","Starch_WA_2019","WSC_ID_2018","WSC_ID_2019","WSC_OR_2018","WSC_OR_2019","WSC_WA_2018","WSC_WA_2019"
"1",29.5709623649246,30.9390163950737,31.803124171837,33.1711782019861,34.412929608075,35.7809836382242,0.542749420400687,0.641181793563976,0.647385281330994,0.745817654494283,0.465765317721401,0.564197690884689,34.5773228073051,38.2157716510424,38.1270412277215,41.7654900714588,39.9247999133702,43.5632487571075,11.6008143491479,11.682958746371,8.93824614300162,9.02039054022471,8.7278801945624,8.81002459178549,1.44815834750309,1.46093425785138,1.21613193026709,1.22890784061538,1.33764681719333,1.35042272754162,25.2745790002881,24.2078598692285,23.433558915455,22.3668397843955,21.9993399312259,20.9326208001664,95.454678258598,94.290059633626,95.1341271487176,93.9695085237456,94.939703390164,93.775084765192,5.94303801856935,6.59512156965741,5.36994980866431,6.02203335975237,4.53901959672865,5.19110314781671,1.72319403362203,1.72985844125982,2.10190700377024,2.10857141140803,1.85080526930974,1.85746967694753,2.73630924715094,2.80195849195717,2.52294633278615,2.58859557759238,1.84215216799738,1.9078014128036,6.21057147493336,6.34269406408583,6.80835999438034,6.94048258353282,7.30895079025029,7.44107337940277,0.35464863617596,0.313346362737939,0.317908424141004,0.276606150702983,0.37270830935915,0.33140603592113,0.789675985413997,0.92327808923855,0.77993839334994,0.913540497174494,0.823707245218546,0.9573093490431,0.325902663374611,0.327529818705943,0.320642633581967,0.322269788913299,0.294782142366784,0.296409297698116,1.24606639664684,1.06511480567447,1.52166949808099,1.34071790710863,0.936543483596668,0.7555918926243,6.77072886089665,6.82301086051104,6.48449379160341,6.53677579121779,6.76157239510777,6.81385439472215
"2",29.2249129711493,30.5929670012984,37.1150582027038,38.4831122328529,34.0515710499585,35.4196250801076,0.515522631747059,0.613955004910348,0.533382833352515,0.631815206515803,0.466470327648852,0.564902700812141,34.329805224815,37.9682540685523,45.5088004888795,49.1472493326168,41.0834855680219,44.7219344117592,11.5005635977803,11.5827079950034,8.89271635668522,8.97486075390831,9.10902952408406,9.19117392130715,1.42544035373135,1.43821626407964,1.12381315731489,1.13658906766319,1.18177151972685,1.19454743007514,25.3901759343999,24.3234568033404,20.3905402553258,19.3238211242662,20.428587122349,19.3618679912895,95.5322199775636,94.3676013525916,95.1041963868574,93.9395777618854,95.0504458357393,93.8858272107673,5.48228608500941,6.13436963609747,5.37965497827719,6.03173852936525,5.03160509393325,5.6836886450213,1.72649037945406,1.73315478709185,1.75838039691772,1.76504480455551,1.75678484429314,1.76344925193094,2.64501352607473,2.71066277088095,2.56420249680813,2.62985174161435,2.01741870587836,2.08306795068459,6.0624454000784,6.19456798923088,7.85802583224886,7.99014842140134,7.02735823493009,7.15948082408257,0.355968762700836,0.314666489262815,0.252534152903845,0.211231879465825,0.337800909322596,0.296498635884576,0.965569826358281,1.09917193018283,1.05056388694131,1.18416599076586,0.827712139262233,0.961314243086786,0.326543971736408,0.328171127067741,0.297240455708298,0.29886761103963,0.278677631640623,0.280304786971955,1.11329250204579,0.932340911073422,1.49657346195323,1.31562187098086,0.819080547265147,0.63812895629278,7.01891192194143,7.07119392155581,6.61729800025345,6.66957999986783,6.72627271069169,6.77855471030607
"3",29.0281693090671,30.3962233392163,36.0691632322212,37.4372172623703,33.788706275568,35.1567603057171,0.474086836209888,0.572519209373177,0.555146986085351,0.65357935924864,0.509032442826505,0.607464815989793,33.9677140348958,37.6061628786331,43.3338277243192,46.9722765680565,41.3235409511334,44.9619897948707,11.1338777360676,11.2160221332907,9.79399858935201,9.8761429865751,8.61794307166939,8.70008746889248,1.42310257180501,1.4358784821533,1.12826728526571,1.141043195614,1.18351882217869,1.19629473252698,25.1005305926234,24.0338114615639,21.4567707473039,20.3900516162443,19.8618913602144,18.7951722291548,95.4045342166555,94.2399155916835,95.1658949219203,94.0012762969483,95.1380486209028,93.9734299959308,5.24388013835343,5.89596368944148,4.65847887339121,5.31056242447927,5.81058811024652,6.46267166133458,1.72103700314104,1.72770141077884,1.86619501606655,1.87285942370435,1.82048855606949,1.82715296370729,2.76482890636818,2.8304781511744,2.75874667684197,2.8243959216482,1.8595811077158,1.92523035252202,6.1111458370053,6.24326842615777,7.5278434405346,7.65996602968707,7.05495795608889,7.18708054524137,0.33217661468933,0.29087434125131,0.274324180938051,0.233021907500031,0.343582674541061,0.302280401103041,0.945557629657101,1.07915973348165,0.732541288854633,0.866143392679186,0.73006447301433,0.863666576838884,0.319139998348581,0.320767153679913,0.307001170755957,0.308628326087289,0.268480940738195,0.270108096069528,1.00452037541262,0.823568784440253,1.27390612217097,1.09295453119861,1.38258640416859,1.20163481319622,6.88143989228774,6.93372189190212,6.46699916553936,6.51928116515374,7.3509505475312,7.40323254714558
"4",29.7823178214372,31.1503718515863,35.0341751895823,36.4022292197314,34.615146674025,35.9832007041741,0.541436883926917,0.639869257090206,0.652278430849919,0.750710804013207,0.454292067346594,0.552724440509882,34.6727101812167,38.311159024954,42.8907936987398,46.5292425424771,41.8718823383816,45.5103311821189,10.7606909041885,10.8428353014116,10.4692967490123,10.5514411462354,9.15301011273133,9.23515450995442,1.42898237001875,1.44175828036705,1.20426913318672,1.21704504353501,1.26506667136665,1.27784258171494,24.7618606467354,23.6951415156758,22.3541998353653,21.2874807043057,20.4999739649181,19.4332548338585,95.5772505516664,94.4126319266944,95.0370371933199,93.8724185683479,94.9669430733797,93.8023244484077,5.33093466212614,5.9830182132142,6.17556566816079,6.82764921924884,5.87162289783168,6.52370644891974,1.71581653835613,1.72248094599392,1.84511647831343,1.85178088595122,1.79105006557665,1.79771447321445,2.81562034769356,2.88126959249978,2.56009427523955,2.62574352004577,1.87672518500469,1.94237442981091,6.26086559382844,6.39298818298091,7.4106476030113,7.54277019216378,6.82441018259134,6.95653277174382,0.362796404472298,0.321494131034277,0.313022382687766,0.271720109249746,0.340722217315161,0.29941994387714,0.897706050769332,1.03130815459389,1.31802237896103,1.45162448278558,0.837459214110525,0.971061317935078,0.320654800500095,0.322281955831427,0.308403631024921,0.310030786356253,0.29624873411395,0.297875889445282,0.919061651137757,0.73811006016539,2.05199101967116,1.87103942869879,1.35112515021988,1.17017355924751,7.81113139617211,7.86341339578649,6.87848487979117,6.93076687940555,7.08074486453062,7.133026864145
"5",29.8571963995159,31.225250429665,31.014271486789,32.3823255169381,32.6454803882068,34.0135344183559,0.543027467617735,0.641459840781023,0.597204658290842,0.69563703145413,0.447789748490096,0.546222121653384,33.6951249586775,37.3335738024148,38.2562285038963,41.8946773476336,39.1250903009751,42.7635391447124,11.8454611659859,11.927605563209,9.02145358118048,9.10359797840358,8.57981531951936,8.66195971674246,1.42195198195681,1.4347278923051,1.13701520735954,1.14979111770783,1.20041971847844,1.21319562882673,25.231461670647,24.1647425395875,21.8349345750698,20.7682154440102,20.7017090621973,19.6349899311377,95.4812439237169,94.3166252987449,95.0495013002624,93.8848826752904,95.0638715347058,93.8992529097338,5.47701416394909,6.12909771503715,6.10856331374992,6.76064686483798,5.26983207731579,5.92191562840385,1.79800904538628,1.80467345302408,2.08300148756751,2.0896658952053,1.81513600324549,1.82180041088328,2.66680958743481,2.73245883224104,2.49399227697135,2.55964152177758,1.93432258407523,1.99997182888146,6.33809850909024,6.47022109824271,6.38402312669402,6.5161457158465,6.69099903994683,6.8231216290993,0.325232032067641,0.283929758629621,0.284261729738439,0.242959456300419,0.335922646532566,0.294620373094546,0.97374189576962,1.10734399959417,0.614100983646755,0.747703087471308,0.729272441364641,0.862874545189195,0.316214809338413,0.317841964669745,0.287587407270721,0.289214562602053,0.283656082089387,0.285283237420719,1.18712896480282,1.00617737383046,1.64311489187703,1.46216330090466,1.18127089443259,1.00031930346023,6.67834710202324,6.73062910163762,7.32096896100891,7.37325096062329,7.23552909393127,7.28781109354565
"6",28.9460906341361,30.3141446642852,34.8356334211915,36.2036874513406,33.58547463463,34.9535286647791,0.556176030835089,0.654608403998378,0.570285265585034,0.668717638748322,0.470056605617747,0.568488978781035,33.4424235973162,37.0808724410535,41.6161252132565,45.2545740569938,41.0475226784642,44.6859715222016,11.3444524436686,11.4265968408917,9.15812847365818,9.24027287088127,9.00328464194885,9.08542903917194,1.45279440495859,1.46557031530688,1.18140578772394,1.19418169807223,1.22483352261241,1.2376094329607,25.0831178926021,24.0163987615425,21.2953493913088,20.2286302602493,20.30308654392,19.2363674128604,95.5057753947231,94.3411567697512,95.1420111307866,93.9773925058146,95.0724669980369,93.9078483730649,5.08817109873868,5.74025464982673,5.02762888512132,5.67971243620938,5.08056058050499,5.73264413159305,1.84329661102012,1.84996101865791,1.98021552438502,1.98687993202281,1.87003637141258,1.87670077905038,2.64879235948102,2.71444160428725,2.72307069369914,2.78871993850536,2.20665847373693,2.27230771854316,6.4471338085646,6.57925639771708,7.2046353917269,7.33675798087938,6.95383354001768,7.08595612917016,0.350544203386327,0.309241929948306,0.302087327670368,0.260785054232348,0.32025693122734,0.278954657789319,1.09398543587941,1.22758753970396,0.83157830481345,0.965180408638003,0.738620529498619,0.872222633323172,0.314102991232242,0.315730146563574,0.293960213851944,0.295587369183276,0.276508873068443,0.278136028399775,1.09307894217992,0.912127351207552,1.45992574735528,1.27897415638291,0.923628089754311,0.742676498781943,6.90587216011723,6.95815415973161,6.58187222579671,6.63415422541109,7.16685124542504,7.21913324503942
"7",28.8830257292194,30.2510797593685,32.2381118224202,33.6061658525693,33.4930135628142,34.8610675929633,0.518884047490426,0.617316420653714,0.576658701593188,0.675091074756476,0.505696183385063,0.604128556548351,33.5173975895053,37.1558464332427,38.7896512827977,42.428100126535,39.6688374574858,43.3072863012231,11.2524366992689,11.334581096492,9.18836561311838,9.27051001034147,9.24497787530368,9.32712227252677,1.40280167662438,1.41557758697267,1.16773216489917,1.18050807524746,1.22446466819591,1.2372405785442,25.6491125532109,24.5823934221514,23.5195156035057,22.4527964724462,20.7877874113261,19.7210682802665,95.55149185364,94.386873228668,95.0854764407947,93.9208578158227,95.014695833864,93.850077208892,5.60041809432696,6.25250164541502,5.69966958623066,6.35175313731872,5.13890824391848,5.79099179500654,1.81267083401569,1.81933524165349,2.08725075248619,2.09391516012399,1.88033923355464,1.88700364119244,2.77801022867389,2.84365947348012,2.50902392412706,2.57467316893329,2.21797002712093,2.28361927192716,5.9851828914738,6.11730548062628,6.62154504396507,6.75366763311755,6.80019129660906,6.93231388576154,0.363368078366998,0.322065804928978,0.281203944121719,0.239901670683699,0.328022609581337,0.286720336143317,0.999761293061546,1.1333633968861,0.830697145042282,0.964299248866835,0.58994927149437,0.723551375318923,0.331077931904188,0.332705087235521,0.286738247847336,0.288365403178668,0.296932857776343,0.298560013107676,1.08818277792442,0.907231186952055,1.56850054869612,1.38754895772375,1.06030662277604,0.879355031803673,6.92718000383066,6.97946200344504,7.03871689424307,7.09099889385746,7.09684060616023,7.14912260577461
"8",30.8664431233046,32.2344971534537,35.2708283776849,36.638882407834,32.385697362209,33.7537513923581,0.560967758377213,0.659400131540501,0.578350166724886,0.676782539888174,0.464795811568712,0.563228184732001,33.3815898584559,37.0200387021932,41.8441032568023,45.4825521005396,36.586823976925,40.2252728206624,11.5990117151898,11.6811561124129,9.5138706018459,9.59601499906899,9.1479511238615,9.23009552108459,1.42964917660583,1.44242508695412,1.1783412368146,1.19111714716289,1.34848017181326,1.36125608216155,26.5633739656259,25.4966548345663,22.6227635771675,21.5560444461079,22.6224359237787,21.5557167927191,95.7261413790968,94.5615227541248,95.0294858996018,93.8648672746298,95.0742522849711,93.9096336599991,4.3354533642771,4.98753691536516,5.69971928464806,6.35180283573612,4.2612007649007,4.91328431598876,1.75175560503943,1.75842001267723,1.98027005014582,1.98693445778362,1.97091562798132,1.97758003561912,2.94296410661215,3.00861335141838,2.69657724350095,2.76222648830717,2.15495533333845,2.22060457814467,6.269704643768,6.40182723292048,7.2033488668223,7.33547145597477,7.01111453028994,7.14323711944241,0.354805463945222,0.313503190507201,0.283337347372785,0.242035073934764,0.370173829486718,0.328871556048697,0.944141127039092,1.07774323086365,0.897906346454241,1.03150845027879,0.89580885578472,1.02941095960927,0.343539656465505,0.345166811796837,0.341862901925032,0.343490057256364,0.301830595893707,0.30345775122504,0.798899635078919,0.617948044106552,1.55229846584331,1.37134687487095,0.767722687949661,0.586771096977293,6.21558317248884,6.26786517210322,6.54850782595098,6.60078982556537,7.1165081160393,7.16879011565368
"9",28.859421570012,30.2274756001612,35.7683166610449,37.1363706911941,31.8184803850636,33.1865344152127,0.561606055984212,0.6600384291475,0.576623245663785,0.675055618827074,0.462160243970865,0.560592617134153,32.0203964226466,35.6588452663839,43.2777197150611,46.9161685587984,37.3524890137737,40.990937857511,11.8142857284412,11.8964301256643,9.51997986012302,9.60212425734611,9.61744359071955,9.69958798794264,1.41434825496459,1.42712416531289,1.17848593433963,1.19126184468792,1.26057791793598,1.27335382828427,26.8667493069591,25.8000301758996,23.1881974410598,22.1214783100002,22.7226943017297,21.6559751706701,95.5347583238066,94.3701396988346,95.0976366408908,93.9330180159188,95.202306844353,94.037688219381,5.13341041922264,5.7854939703107,5.41108117956914,6.0631647306572,4.36658659681188,5.01867014789994,1.85927726633375,1.86594167397155,1.8657594694587,1.87242387709649,1.89802302968983,1.90468743732763,2.85222219197685,2.91787143678307,2.45116217025683,2.51681141506306,2.25001108506807,2.3156603298743,5.81635710386875,5.94847969302123,7.31556887247233,7.44769146162481,6.52441346112841,6.65653605028088,0.35883200142924,0.317529727991219,0.301761831687959,0.260459558249938,0.338710102504218,0.297407829066198,0.880942786023369,1.01454488984792,0.804578403687312,0.938180507511866,0.859136998586865,0.992739102411418,0.343709844832404,0.345337000163736,0.332782894584104,0.334410049915436,0.31689618643965,0.318523341770982,1.10054368689503,0.91959209592266,1.45984822415945,1.27889663318708,0.583269818552312,0.402318227579944,6.9537147877459,7.00599678736028,6.88562405105141,6.93790605066579,6.82081579284482,6.87309779245921
"10",29.0555192023486,30.4235732324978,31.6743543859067,33.0424084160558,32.091078303882,33.4591323340311,0.572611385813562,0.671043758976851,0.579367892966378,0.677800266129666,0.429682139209655,0.528114512372943,32.2902683828243,35.9287172265617,37.2863668160482,40.9248156597855,38.1452234557051,41.7836722994424,12.3341164501615,12.4162608473846,9.90651435868066,9.98865875590375,9.43323243933526,9.51537683655835,1.45202356051737,1.46479947086566,1.22879582853236,1.24157173888065,1.23173363459353,1.24450954494182,26.3810584484011,25.3143393173416,24.5467112121228,23.4799920810632,21.9631976785342,20.8964785474747,95.6154505323951,94.4508319074231,95.0922315228657,93.9276128978937,94.9867649851756,93.8221463602036,4.95972510726988,5.61180865835794,4.76067789388325,5.41276144497131,4.69238651348487,5.34447006457292,1.74300806925221,1.74967247689,2.29894574501048,2.30561015264827,1.98906566703278,1.99573007467057,2.86969968250635,2.93534892731258,2.76274049788872,2.82838974269495,2.37660184019963,2.44225108500585,6.18805870488032,6.32018129403279,6.49971563701541,6.63183822616789,6.32199708404514,6.45411967319761,0.367237876210454,0.325935602772434,0.345018749432147,0.303716475994127,0.316546625624002,0.275244352185982,1.03645738201882,1.17005948584337,0.997112317582788,1.13071442140734,0.77449981418287,0.908101918007423,0.337824589734014,0.339451745065346,0.340774384313031,0.342401539644363,0.314264944206601,0.315892099537933,1.2599899062926,1.07903831532023,1.20564693087891,1.02469533990654,0.830238878191237,0.649287287218869,6.5744067617364,6.62668876135078,6.33231285108508,6.38459485069946,7.02733286867751,7.07961486829189
